Productname,price,Ratinf,Delivery,Savings
"HP 14s 11th Gen Intel Core i3- 8GB RAM/256GB SSD 14 inch(35.6cm) FHD,Micro-Edge,Anti-Glare,IPS Display/UHD Graphics/ Win 11/ MS Office/ Alexa Built-in/ 1.46kg/ Natural Silver - 14s-dy2506TU","42,490",4.2 out of 5 stars,"Tomorrow, February 15","₹42,490₹42,490 ₹55,562₹55,562  Save ₹13,072 (24%)"
"Lenovo Ideapad 3 AMD Ryzen 5 5500U 15.6"" FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Backlit Keyboard/2Yr Warranty/Arctic Grey/1.65Kg), 82KU017KIN","49,990",4.2 out of 5 stars,"Tomorrow, February 15","₹49,990₹49,990 ₹68,990₹68,990  Save ₹19,000 (28%)"
HP 11th Gen Intel Core i3 15.6 inch(39.6 cms) FHD Laptop ( 8GB RAM/1TB HDD/ UHD Graphics/ Win 10/ Alexa Built-in/MS Office/ 1.75kg/ Jet Black) - 15s-du3055TU,"39,490",3.3 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹45,515₹45,515  Save ₹6,025 (13%)"
"Lenovo IdeaPad 3 11th Gen Intel Core i5 14"" FHD Thin & Light Laptop (16GB/512 GB SSD/Windows 11/Office 2021/Backlit/Fingerprint Reader/2 Yr Warranty/Arctic Grey/1.41Kg), 82H7016KIN","60,990",4.2 out of 5 stars,"Tomorrow, February 15","₹60,990₹60,990 ₹91,890₹91,890  Save ₹30,900 (34%)"
"Lenovo Chromebook 14e 14.0"" FHD Business Laptop (AMD 3015Ce Processor/4GB DDR4 RAM/64GB Storage eMMC/AMD Radeon Graphics/Chrome OS/Grey) 82M10019HA","20,990",3.4 out of 5 stars,"Tomorrow, February 15","₹20,990₹20,990 ₹60,000₹60,000  Save ₹39,010 (65%)"
"ASUS VivoBook 14 (2021), AMD Ryzen 3 3250U, 14-inch (35.56 cms) FHD Thin and Light Laptop (8GB/256GB SSD/Office 2019/Windows 10/Integrated Graphics/Silver/1.6 Kg), M415DA-EK322TS","36,990",4.1 out of 5 stars,"Tomorrow, February 15","₹36,990₹36,990 ₹46,990₹46,990  Save ₹10,000 (21%)"
"Lenovo IdeaPad 1 Intel Celeron N4020 11.6'' HD Laptop (4GB/256GB SSD/Windows 11/Office 2021/Platinum Grey/1.2Kg), 81VT0095IN","30,690",4.0 out of 5 stars,"Wednesday, February 16","₹30,690₹30,690 ₹40,490₹40,490  Save ₹9,800 (24%)"
"HP 15s 11th Gen Intel Core i3- 8GB RAM/512GB SSD 15.6-inch(39.6 cm) Laptop, HD,Anti-Glare Display/UHD Graphics/Win 11/Alexa-Built in/MS Office/Natural Silver/1.75 Kg)-15s-dy3501TU","43,890",4.0 out of 5 stars,"Tomorrow, February 15","₹43,890₹43,890 ₹49,590₹49,590  Save ₹5,700 (11%)"
"Lenovo IdeaPad 3 11th Gen Intel Core i3 35.56cm (14 inches) FHD Thin & Light Laptop (8 GB/256GB SDD/Windows 11/MS Office 2021/2Yr Warranty/Platinum Grey/1.5Kg), 81X700CWIN","40,990",3.8 out of 5 stars,"Tomorrow, February 15","₹40,990₹40,990 ₹62,390₹62,390  Save ₹21,400 (34%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0003TU","27,490",3.7 out of 5 stars,"Tomorrow, February 15","₹27,490₹27,490 ₹29,741₹29,741  Save ₹2,251 (8%)"
HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),"56,750",4.1 out of 5 stars,"Saturday, February 19","₹56,750₹56,750 ₹63,999₹63,999  Save ₹7,249 (11%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU","27,390",3.8 out of 5 stars,"Tomorrow, February 15","₹27,390₹27,390 ₹29,741.50₹29,741.50  Save ₹2,351.50 (8%)"
"Dell 15 (2021) Athlon Silver 3050U, 4GB, 256GB SSD, Win 11 + MS Office'21, AMD Vega Graphics, , 15.6"" (39.62 cms) HD Display, Carbon Black (Inspiron 3515, D560702WIN9BE)","34,990",4.3 out of 5 stars,"Wednesday, February 16","₹34,990₹34,990 ₹42,211₹42,211  Save ₹7,221 (17%)"
"Dell 15 (2021) Ryzen 3-3250U, 8GB, 1TB HDD, Win 11 + MS Office'21, AMD Vega Graphics ,15.6"" (39.62 cms) FHD Display, Carbon Black (Inspiron 3515, D560711WIN9BE)","36,990",,"Tomorrow, February 15","₹36,990₹36,990 ₹50,149₹50,149  Save ₹13,159 (26%)"
"HP 15 (2021) AMD Ryzen 3-3250 8 GB RAM, 1TB HDD + 256GB SSD, 15.6 inches FHD Screen, Windows 10, MS Office Thin & Light Laptop, 1.82kg (15s-gr0012AU), Silver","41,990",4.3 out of 5 stars,"Tomorrow, February 15","₹41,990₹41,990 ₹44,466₹44,466  Save ₹2,476 (6%)"
"HP Pavilion 14, Intel 11th Gen i5 16GB RAM/512GB SSD 14 inch(35.6 cm) Laptop, FHD IPS Anti-Glare Display/Iris X Graphics/Backlit KB/B&O Audio/Fingerprint Reader/Win 11/Thin & Light/1.41kg, 14-dv1001TU","67,990",4.4 out of 5 stars,"Tomorrow, February 15","₹67,990₹67,990 ₹79,444₹79,444  Save ₹11,454 (14%)"
"Lenovo V15 Intel Celeron N4020 15.6"" FHD (1080p)(39.62 cm) HD Thin and Light Laptop (4GB RAM/1 TB HDD / DOS /Iron Grey/1 Year Onsite Warranty/1.7 kg), 82C30052IH","28,596",3.4 out of 5 stars,"Saturday, February 19","₹28,596₹28,596 ₹40,399₹40,399  Save ₹11,803 (29%)"
"Lenovo IdeaPad Slim 5 11th Gen Intel Core i5 15.6""(39.62cm) FHD IPS Thin & Light Laptop (16GB/512GB SSD/Windows 11/MS Office 2021/Backlit Keyboard/Fingerprint Reader/Graphite Grey/1.66Kg), 82FG01H9IN","64,990",4.3 out of 5 stars,"Tomorrow, February 15","₹64,990₹64,990 ₹1,01,390₹1,01,390  Save ₹36,400 (36%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"Acer Aspire 5 A514-54 Thin and Light Laptop | 14"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 Processor | 8GB DDR4 |1TB HDD | WiFi 6| Win 11 Home | HD Webcam | Pure Silver | 1.45kg","46,990",4.1 out of 5 stars,"Tomorrow, February 15","₹46,990₹46,990 ₹66,999₹66,999  Save ₹20,009 (30%)"
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6""(39.62cm) FHD Thin & Light Laptop (8GB/256GB SSD/UHD Graphics/Windows 11/MS Office 2021/Platinum Grey/1.7Kg), 81WB01EFIN","38,490",4.2 out of 5 stars,"Tomorrow, February 15","₹38,490₹38,490 ₹56,590₹56,590  Save ₹18,100 (32%)"
HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),"56,750",4.1 out of 5 stars,"Saturday, February 19","₹56,750₹56,750 ₹63,999₹63,999  Save ₹7,249 (11%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"HP 15, 11th Gen Intel Core i5, 8GB RAM/512GB SSD 15.6-inch (39.6 cm) Laptop, FHD, IPS, Micro-Edge, Anti-Glare Display/Iris Xe Graphics/Alexa Built- in/Win 11/1.75kg, 15s-du3517TU, Natural Silver","55,990",4.2 out of 5 stars,"Friday, February 18","₹55,990₹55,990 ₹70,171₹70,171  Save ₹14,181 (20%)"
"Lenovo Ideapad 3 AMD Ryzen 5 5500U 15.6"" FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Backlit Keyboard/2Yr Warranty/Arctic Grey/1.65Kg), 82KU017KIN","49,990",4.2 out of 5 stars,"Tomorrow, February 15","₹49,990₹49,990 ₹68,990₹68,990  Save ₹19,000 (28%)"
"HP Chromebook MediaTek Kompanio 500 11.6 inch(29.5 cm) HD,Anti -Glare, Touchscreen Laptop(4 GB LPDDR4/64 GB EMMC Storage/Chrome OS/Dual Speakers/ 1.07 Kg)-11a-na0002MU","23,310",4.0 out of 5 stars,"Wednesday, February 16","₹23,310₹23,310 ₹26,663₹26,663  Save ₹3,353 (13%)"
"Lenovo IdeaPad 3 10th Gen Intel Core i3 15.6 HD Thin and Light Laptop (8GB/1TB HDD/Windows 11/MS Office 2021/2Yr Warranty/Platinum Grey/1.7Kg), 81WB01BCIN","39,990",4.0 out of 5 stars,"Friday, February 18","₹39,990₹39,990 ₹57,290₹57,290  Save ₹17,300 (30%)"
"(Renewed) Hp ProBook 6th Gen Core i5 Laptop, 8 GB RAM, 256GB SSD, Intel HD Graphics, 14 inch (36.83 cms) FHD Screen, Windows 11 (Upgraded), MS Office, Black, Slim","29,999",2.9 out of 5 stars,"Saturday, February 19","₹29,999₹29,999 ₹57,999₹57,999  Save ₹28,000 (48%)"
"ASUS VivoBook 14 (2021) AMD Ryzen 3 3250U - 15.6-inch FHD IPS Thin and Light Laptop (8GB/256GB NVMe SSD/Integrated Graphics/Windows 10/MS Office 2019/1 Yr. McAfee/Silver/1.9 kg), M515DA-BQ322TS","36,990",4.0 out of 5 stars,"Saturday, February 19","₹36,990₹36,990 ₹46,990₹46,990  Save ₹10,000 (21%)"
"HP Pavilion 14, Intel 11th Gen Core i5 16GB RAM/512GB SSD 14-inch Laptop, FHD Micro-Edge Anti-Glare Display/Iris X Graphics/ Alexa/Backlit KB/B&O Audio/FPR /Win 11 Ready/1.41kg, 14-dv1002TU","67,900",4.3 out of 5 stars,"Tomorrow, February 15","₹67,900₹67,900 ₹79,444₹79,444  Save ₹11,544 (15%)"
"Lenovo V15 Intel Core i3 11th Gen 15.6"" FHD Thin and Light Laptop (4GB RAM/ 1TB HDD/ DOS/ Black/ 1.70 kg), 82KB00EUIN","34,990",,"Saturday, February 19","₹34,990₹34,990 ₹46,832₹46,832  Save ₹11,842 (25%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0003TU","27,490",3.7 out of 5 stars,"Tomorrow, February 15","₹27,490₹27,490 ₹29,741₹29,741  Save ₹2,251 (8%)"
"HP Victus AMD Ryzen 5 5600H 16.1 inches FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/Flicker Free Display/Windows 10 Home/MS Office/Mica Silver/2.48 Kg), 16-e0162AX, Black","59,990",4.4 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹73,682₹73,682  Save ₹13,692 (19%)"
"Acer Aspire 3 AMD Ryzen 3 3250U Processor 15.6"" (39.6 cms) Full HD Laptop - (4 GB/256 GB SSD/Windows 11 Home/AMD Radeon Graphics /1.9Kg/Silver) A315-23,Large","35,990",4.0 out of 5 stars,"Saturday, February 19","₹35,990₹35,990 ₹39,990₹39,990  Save ₹4,000 (10%)"
"ASUS Pentium Silver - (8 GB/256 GB SSD/Windows 10 Home) E410MA-EK103TS Thin and Light Laptop (14 inch, Star Black, 1.30 kg, with MS Office)","31,990",,"Tomorrow, February 15","₹31,990₹31,990 ₹38,990₹38,990  Save ₹7,000 (18%)"
Acer Aspire 3 Intel Core i3 11th Generation 15.6-inch (39.6 cms) Full HD Laptop - (8 GB/256 GB SSD/Windows 11 Home/Intel UHD Graphics /1.7 Kg/Silver) A315-58,"42,919",,"Tomorrow, February 15","₹42,919₹42,919 ₹52,999₹52,999  Save ₹10,080 (19%)"
"Dell 15 (2021) i5-1135G7, 8GB, 512GB SSD, Win 11 + MS Office'21, Integrated Graphics, 15.6"" (39.62 cms) FHD Display, Platinum Silver Color, Backlit KB (Inspiron 3511, D560652WIN9S)","59,290",3.4 out of 5 stars,"Wednesday, February 16","₹59,290₹59,290 ₹76,143₹76,143  Save ₹16,853 (22%)"
"Acer Aspire Vero AV15-51-5155 Green Laptop | 15.6"" FHD IPS Display | 11th Gen Intel Core i5-1155G7 | 8GB DDR4 | 512GB SSD | Wi-Fi 6 | PCR Materials | Windows 11 Home | Fingerprint Reader | MS Office","57,990",5.0 out of 5 stars,"Friday, February 18","₹57,990₹57,990 ₹79,999₹79,999  Save ₹22,009 (28%)"
(Renewed) Dell Intel Core i5 5th Gen 12.5 Inch(31.75 cms) 1366 X 768 Laptop (8GB RAM/512GB SSD/Windows 10 Pro/MS Office/Intel Graphics/ Black/1.5Kg) Latitude E7250,"29,999",,"Wednesday, February 16","₹29,999₹29,999 ₹1,40,000₹1,40,000  Save ₹1,10,001 (78%)"
"Dell 14 (2021) i3-1005G1, 8GB, 512GB SSD, Win 11 + MS Office'21, Integrated Graphics, 14"" (35.56 cms) FHD Display, Dune Color (Vostro 3401, D552224WIN9D)","47,468",5.0 out of 5 stars,"Tuesday, February 22","₹47,468₹47,468 ₹61,063₹61,063  Save ₹13,595 (22%)"
"ASUS VivoBook K15 OLED (2021) Ryzen 5 Hexa Core 5500U - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) KM513UA-L503TS Thin and Light Laptop (15.6 inch, Transparent Silver, 1.80 kg, with MS Office)","62,990",,"Tomorrow, February 15","₹62,990₹62,990 ₹78,990₹78,990  Save ₹16,000 (20%)"
"Acer Aspire 5 A514-54 Thin and Light Laptop | 14"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 Processor | 8GB DDR4 |1TB HDD | WiFi 6| Win 11 Home | HD Webcam | Pure Silver | 1.45kg","46,990",4.1 out of 5 stars,"Tomorrow, February 15","₹46,990₹46,990 ₹66,999₹66,999  Save ₹20,009 (30%)"
"Lenovo Ideapad 3 AMD Ryzen 5 5500U 15.6"" FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Backlit Keyboard/2Yr Warranty/Arctic Grey/1.65Kg), 82KU017KIN","49,990",4.2 out of 5 stars,"Tomorrow, February 15","₹49,990₹49,990 ₹68,990₹68,990  Save ₹19,000 (28%)"
HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),"56,750",4.1 out of 5 stars,"Saturday, February 19","₹56,750₹56,750 ₹63,999₹63,999  Save ₹7,249 (11%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6""(39.62cm) FHD Thin & Light Laptop (8GB/256GB SSD/UHD Graphics/Windows 11/MS Office 2021/Platinum Grey/1.7Kg), 81WB01EFIN","38,490",4.2 out of 5 stars,"Tomorrow, February 15","₹38,490₹38,490 ₹56,590₹56,590  Save ₹18,100 (32%)"
HP 14s AMD Ryzen 7-5700U 14 inch(35.6 cm) Thin & Light FHD Laptop ( 8GB RAM/512GB SSD/ Radeon Graphics/ Windows 10/ MS Office 2019/ Backlit Keyboard/ Natural Silver/ 1.41kg) - 14s-fq1083AU,"59,990",4.1 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹73,625₹73,625  Save ₹13,635 (19%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU","27,390",3.8 out of 5 stars,"Tomorrow, February 15","₹27,390₹27,390 ₹29,741.50₹29,741.50  Save ₹2,351.50 (8%)"
"(Renewed) MI Mi Notebook Horizon Edition 14 Intel 10th Gen Core i7 14-Inch (35.56 cms) 1920x1080 Thin and Light Laptop (8 GB/512 GB SSD/Windows 10 Home/NVIDIA GeForce MX350/Grey/1.35 Kg), XMA1904-AF","51,999",3.3 out of 5 stars,"Tomorrow, February 15","₹51,999₹51,999 ₹59,990₹59,990  Save ₹7,991 (13%)"
"ASUS VivoBook 14 (2021), 14-inch (35.56 cms) FHD, Intel Core i7-1065G7 10th Gen, Thin and Light Laptop (16GB/512GB SSD/Integrated Graphics/Office 2021/Windows 11/Silver/1.6 Kg), X415JA-EK701WS","59,990",4.1 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹82,990₹82,990  Save ₹23,000 (28%)"
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 14"" (35.56cm) FHD Thin & Light Laptop (4GB/256GB SSD/Windows 11/MS Office 2021/2Year Warranty/Abyss Blue/1.6Kg), 81WD0141IN","36,490",3.9 out of 5 stars,"Tomorrow, February 15","₹36,490₹36,490 ₹53,790₹53,790  Save ₹17,300 (32%)"
"Dell New 15 Intel i3-1115G4 Laptop, 8GB, 256GB SSD, Win 10 + MS Office, Integrated Graphics, 15.6"" (39.24 Cms) FHD Display, Carbon Color (Inspiron 3511, D560581WIN9BE), 1.8kg","40,190",3.3 out of 5 stars,"Tomorrow, February 15","₹40,190₹40,190 ₹56,776₹56,776  Save ₹16,586 (29%)"
"ASUS TUF Dash F15 (2021), 15.6"" (39.62 cms) FHD 144Hz, Intel Core i5-11300H 11th Gen, RTX 3050 Ti 4GB Graphics, Gaming Laptop (8GB/512GB SSD/Office 2019/Windows 10/Eclipse Gray/2 kg), FX516PE-HN090TS","75,990",3.8 out of 5 stars,"Tomorrow, February 15","₹75,990₹75,990 ₹1,13,990₹1,13,990  Save ₹38,000 (33%)"
"Lenovo IdeaPad Slim 5 11th Gen Intel Core i5 15.6""(39.62cm) FHD IPS Thin & Light Laptop (16GB/512GB SSD/Windows 11/MS Office 2021/Backlit Keyboard/Fingerprint Reader/Graphite Grey/1.66Kg), 82FG01H9IN","64,990",4.3 out of 5 stars,"Tomorrow, February 15","₹64,990₹64,990 ₹1,01,390₹1,01,390  Save ₹36,400 (36%)"
"HP Victus AMD Ryzen 5 5600H 16.1 inches FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/Flicker Free Display/Windows 10 Home/MS Office/Mica Silver/2.48 Kg), 16-e0162AX, Black","59,990",4.4 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹73,682₹73,682  Save ₹13,692 (19%)"
"Lenovo IdeaPad 3 10th Gen Intel Core i3 15.6 FHD Thin & Light Laptop (8GB/1 TB HDD /Windows 11/Office 2021/2 Yr Warranty/Platinum Grey/1.7Kg), 81WB018UIN","38,990",2.5 out of 5 stars,"Tomorrow, February 15","₹38,990₹38,990 ₹57,990₹57,990  Save ₹19,000 (33%)"
"HP 15, 11th Gen Intel Core i5, 8GB RAM/512GB SSD 15.6-inch (39.6 cm) Laptop, FHD, IPS, Micro-Edge, Anti-Glare Display/Iris Xe Graphics/Alexa Built- in/Win 11/1.75kg, 15s-du3517TU, Natural Silver","55,990",4.2 out of 5 stars,"Friday, February 18","₹55,990₹55,990 ₹70,171₹70,171  Save ₹14,181 (20%)"
"Dell 15 (2021) Ryzen 5-3450U, 8GB, 512GB SSD, Win 11 + MS Office'21, AMD Vega Graphics, 15.6"" (39.62 cms) FHD Display, Platinum Silver Color, Backlit KB (Inspiron 3515, D560704WIN9S)","49,939",,"Wednesday, February 16","₹49,939₹49,939 ₹66,161₹66,161  Save ₹16,222 (25%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"HP 14s 11th Gen i3 14inch(35.6 cm) FHD, IPS, Micro-Edge Display (8GB RAM/ 512 GB SSD/LTE/ Backlit Keyboard/UHD Graphics/ Dual Speakers/ Win 11/MS Office/1.49 Kg), 14s-ef1000tu, Natural Silver","48,990",5.0 out of 5 stars,"Tomorrow, February 15","₹48,990₹48,990 ₹58,657₹58,657  Save ₹9,667 (16%)"
"RedmiBook 15 e-Learning Edition Core i3 11th Gen/8 GB/256 GB SSD/Windows 10 Home/15.6"" FHD Anti Glare/MS Office/Charcoal Gray/1.8 Kg Thin and Light Laptop","37,990",4.0 out of 5 stars,"Tomorrow, February 15","₹37,990₹37,990 ₹51,999₹51,999  Save ₹14,009 (27%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0003TU","27,490",3.7 out of 5 stars,"Tomorrow, February 15","₹27,490₹27,490 ₹29,741₹29,741  Save ₹2,251 (8%)"
"HP 240 G8 Laptop Intel Core i3-11th Gen|8GB|1TBGB|14""HD|Win 10H SL, Gray","39,990",5.0 out of 5 stars,"Tomorrow, February 15","₹39,990₹39,990 ₹43,296₹43,296  Save ₹3,306 (8%)"
"Acer Aspire 5 A514-54 Thin and Light Laptop | 14"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 Processor | 8GB DDR4 |1TB HDD | WiFi 6| Win 11 Home | HD Webcam | Pure Silver | 1.45kg","46,990",4.1 out of 5 stars,"Tomorrow, February 15","₹46,990₹46,990 ₹66,999₹66,999  Save ₹20,009 (30%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU","27,390",3.8 out of 5 stars,"Tomorrow, February 15","₹27,390₹27,390 ₹29,741.50₹29,741.50  Save ₹2,351.50 (8%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),"56,750",4.1 out of 5 stars,"Saturday, February 19","₹56,750₹56,750 ₹63,999₹63,999  Save ₹7,249 (11%)"
"ASUS VivoBook 14 Intel Core i3-10110U 10th Gen 14-inch FHD Compact and Light Laptop (4GB RAM/1TB HDD/Windows 10/Integrated Graphics/Slate Grey/1.60 kg), X409FA-EK617T","31,983",3.1 out of 5 stars,"Wednesday, February 16","₹31,983₹31,983 ₹42,990₹42,990  Save ₹11,007 (26%)"
AVITA PURA E14 NSA6ING541-SGC Thin and Light 14 inches Laptop AMD Radeon R4 (APU Dual Core A6 9220e / 8GB /256 GB SSD / Windows 10 Home) 1.34 kg Shadow Grey,"26,490",3.2 out of 5 stars,,"₹26,490₹26,490 ₹33,490₹33,490  Save ₹7,000 (21%)"
"HP 240 G8 Laptop Intel Core i3-11th Gen|8GB|1TBGB|14""HD|Win 10H SL, Gray","39,990",5.0 out of 5 stars,"Tomorrow, February 15","₹39,990₹39,990 ₹43,296₹43,296  Save ₹3,306 (8%)"
"Dell 15 (2021) i5-1135G7, 8GB, 512GB SSD, Win 11 + MS Office'21, Integrated Graphics, 15.6"" (39.62 cms) FHD Display, Platinum Silver Color, Backlit KB (Inspiron 3511, D560652WIN9S)","59,290",3.4 out of 5 stars,"Wednesday, February 16","₹59,290₹59,290 ₹76,143₹76,143  Save ₹16,853 (22%)"
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i5 15.6"" (39.62cm) FHD IPS Thin & Light Laptop (8GB/512GB SSD/Windows 11/MS Office 2021/2Yr Warranty/Platinum Grey/1.7Kg), 81WB01DCIN","52,095",4.5 out of 5 stars,"Tomorrow, February 15","₹52,095₹52,095 ₹72,690₹72,690  Save ₹20,595 (28%)"
"ASUS VivoBook 14 (2021), 14-inch (35.56 cms) FHD, Intel Core i3-1115G4 11th Gen, Thin and Light Laptop (8GB/256GB SSD/Integrated Graphics/Office 2021/Windows 11/Silver/1.6 Kg), X415EA-EB342WS","37,990",4.0 out of 5 stars,"Tomorrow, February 15","₹37,990₹37,990 ₹51,990₹51,990  Save ₹14,000 (27%)"
"Dell 15 (2021) Ryzen 3-3250U, 8GB, 256GB SSD, Win 11 + MS Office'21, AMD Vega Graphics, 15.6"" (39.62 cms) FHD Display, Carbon Black (Inspiron 3515, D560708WIN9BE)","37,390",,"Tomorrow, February 15","₹37,390₹37,390 ₹50,586₹50,586  Save ₹13,196 (26%)"
"(Renewed) ASUS TUF Dash F15 (2021) 15.6-inch (39.62 cms) FHD 144Hz, Intel Core i5-11300H 11th Gen, RTX 3050 Ti 4GB Graphics, Gaming Laptop (16GB/512GB SSD/Office 2019/Windows 10/Gray/2 Kg), FX516PE-HN091TS","64,792",,"Tomorrow, February 15","₹64,792₹64,792 ₹79,990₹79,990  Save ₹15,198 (18%)"
"Lenovo IdeaPad 3 11th Gen Intel Core i5 14"" FHD Thin & Light Laptop (16GB/512 GB SSD/Windows 11/Office 2021/Backlit/Fingerprint Reader/2 Yr Warranty/Arctic Grey/1.41Kg), 82H7016KIN","60,990",4.2 out of 5 stars,"Tomorrow, February 15","₹60,990₹60,990 ₹91,890₹91,890  Save ₹30,900 (34%)"
"Lenovo Ideapad 3 AMD Ryzen 5 5500U 15.6"" FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Backlit Keyboard/2Yr Warranty/Arctic Grey/1.65Kg), 82KU017KIN","49,990",4.2 out of 5 stars,"Tomorrow, February 15","₹49,990₹49,990 ₹68,990₹68,990  Save ₹19,000 (28%)"
